setting_id,topology,dimension,overlap_ratio,overlap_ratio_target,seed,operator,rounds,longitudinal_conflict_reduction_ratio,mean_conflict_before,mean_regenerated_conflict_next,proposal_consensus_collapse_ratio_mean,conflict_oscillation,conflict_persistence_over_rounds,consensus_instability_over_rounds,objective_improvement_per_fe,FE_total,FE_commit_evaluation,FE_analysis_only,FE_coordination_extra,cross_baseline_evaluations_shared
m001_line_d100_o0.1,line,100,0.1,0.1,2,NoCoordination,5,0.0,0.40938080166712465,0.40938080166712465,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m001_line_d100_o0.1,line,100,0.1,0.1,2,AverageConsensus,5,0.0,0.4475696824790979,0.4659703731997921,1.0,0.0,1.041767740247598,0.04161381811207737,0.07335259356886736,95,5,0,0,False
m001_line_d100_o0.1,line,100,0.1,0.1,2,BestRewardSelection,5,0.027981058482417026,0.37529881075678123,0.3647975527846142,1.0,0.6666666666666666,0.9733771252148751,0.08221747633992789,0.029981977852996073,95,5,0,0,False
m001_line_d100_o0.1,line,100,0.1,0.1,2,WeightedConsensus,5,0.0,0.39916516265393265,0.4045595291838883,1.0,0.0,1.01388010378357,0.05316103554373395,0.05267310101861667,95,5,0,0,False
m001_line_d100_o0.1,line,100,0.1,0.1,2,ConflictDampening,5,0.0,0.4467640564805212,0.46456080817655343,1.0,0.0,1.0406040895432125,0.035405902985260085,0.07483571103539638,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,0,NoCoordination,5,0.0,0.4058560466988356,0.4058560466988356,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,0,AverageConsensus,5,0.0,0.5317057162538037,0.5687325516390755,1.0,0.3333333333333333,1.0814673952887972,0.03768380659403105,0.0898766181094045,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,0,BestRewardSelection,5,0.0,0.470030594260369,0.4769676430653746,1.0,0.0,1.0235922550587513,0.09791891678804056,0.0,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,0,WeightedConsensus,5,0.0,0.4823285780302378,0.49499071110695314,1.0,0.0,1.0362731570501613,0.0667758681951835,0.021503937521482674,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,0,ConflictDampening,5,0.0,0.5249862134195833,0.5632835259703954,1.0,0.3333333333333333,1.0830439464901933,0.03005323841167787,0.09417879043727258,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,1,NoCoordination,5,0.0,0.4528781142980007,0.4528781142980007,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,1,AverageConsensus,5,0.0,0.5170093442877922,0.5371707072248741,1.0,0.0,1.0417808150290333,0.025398125494247314,0.03936946352256106,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,1,BestRewardSelection,5,0.019516180374007083,0.4367692531642499,0.428245185637676,1.0,0.0,0.9805342513695381,0.11966212660589429,0.0,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,1,WeightedConsensus,5,0.0,0.46328448459561256,0.46576770315559396,1.0,0.3333333333333333,1.005516232737533,0.02769805548520641,0.008119864827338537,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,1,ConflictDampening,5,0.0,0.5114102795128972,0.530858099350932,1.0,0.0,1.0402140410496472,0.019354186806325144,0.041906700946113734,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,2,NoCoordination,5,0.0,0.45202204412901476,0.45202204412901476,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,2,AverageConsensus,5,0.0,0.5109771813819578,0.5303988300107587,1.0,0.0,1.0403193896292733,0.03389965444012691,0.09355183583932196,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,2,BestRewardSelection,5,0.03557432488654154,0.4285056683624238,0.41326186850037433,1.0,0.0,0.9641749677183743,0.0456487496517371,0.0,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,2,WeightedConsensus,5,0.00269596615029511,0.4461613550708691,0.44495851916002815,1.0,1.0,0.9976819696568583,0.05119193362205458,0.038627057594410236,95,5,0,0,False
m002_line_d100_o0.2,line,100,0.2,0.2,2,ConflictDampening,5,0.0,0.5084229212321824,0.5277499339402671,1.0,0.0,1.0400304199610475,0.027291881060034977,0.09609181401344608,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,0,NoCoordination,5,0.0,0.4081709667332816,0.4081709667332816,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,0,AverageConsensus,5,0.0,0.5481943018337506,0.5923788832144917,1.0,0.0,1.0939216694984961,0.03537879653503387,0.11913631205834911,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,0,BestRewardSelection,5,0.0024103467136693296,0.43256557979847093,0.4315229467747572,1.0,0.6666666666666666,1.001814288876047,0.1611998154892789,0.014672972889829114,95,5,0,0,False
m003_line_d100_o0.3,line,100,0.3,0.3,0,WeightedConsensus,5,0.0,0.4514538244683958,0.4597156193571087,1.0,0.3333333333333333,1.0211775157897471,0.07571708228747266,0.046848862611970264,95,5,0,0,False
